puesto_trabajo,nombre_empresa,pais,region_estado,salario_minimo,salario_maximo,moneda_salario,periodo_salario,tipo_contrato,categoria,plataforma_origen,tipo_fuente_datos,enlace_oferta
Prensista,Cantol S.A.C.,Perú,"Ate, Lima",1500.0,1500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-prensista-prensa-excentricas-en-ate-845DD93BDF08E6B161373E686DCF3405#lc=ListOffers-Score0-17
Cajera Multifuncional,MONTALVO,Perú,"Lima, Lima",1400.0,1400.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cajera-multifuncional-en-lima-FB9768EB7DA90E4661373E686DCF3405#lc=ListOffers-Score3-16
Revisor de Declaración Aduanera de Mercancías para Agencia de Aduanas,GRUPO PROGESTION,Perú,"Lince, Lima",3500.0,3500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-revisor-de-declaracion-aduanera-de-mercancias-para-agencia-de-aduanas-agencias-de-aduanas-callao-en-lince-BFB4F4EF780CFB5B61373E686DCF3405#lc=ListOffers-Score3-12
Promotor de Tiendas,Olva Courier S.A.C.,Perú,"Lima, Lima",1130.0,1130.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-promotor-de-tiendas-lima-metropolitana-en-lima-7E6233D0EAFD5E2861373E686DCF3405#lc=ListOffers-Score3-18
Cajera  Breña,CITVGRUPO J&J S.A.C.,Perú,"Breña, Lima",1300.0,1300.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cajera-brena-en-brena-AF42385B70B2407861373E686DCF3405#lc=ListOffers-Score3-0
Teleoperador +Gana 2000 + Lun a Vier C/S Exp 6am a 3pmBase s/1300 + Ingreso directo,Grupo Expro,Perú,"Lima, Lima",2000.0,2000.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-teleoperador-gana-2000-lun-a-vier-cs-exp-6am-a-3pmbase-s1300-ingreso-directo-cap-cortas-planilla-bono-mov-sede-centro-en-lima-53EA0DA2FB78450861373E686DCF3405#lc=ListOffers-Score3-2
Community manager,REMAX PRINCIPAL,Perú,"Miraflores, Lima",2000.0,2000.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-community-manager-en-miraflores-9BFE3B6FFAB3C2F761373E686DCF3405#lc=ListOffers-Score0-1
Egresado  ó Bachiller de Psicología para Asesorías de Trabajos de Investigación,,Perú,"San Miguel, Lima",1300.0,1300.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-egresado-o-bachiller-de-psicologia-para-asesorias-de-trabajos-de-investigacion-full-time-en-san-miguel-EA492310D6D007E661373E686DCF3405#lc=ListOffers-Score3-15
tecnico electronico,RIMECA SYSTEMS,Perú,"Puente Piedra, Lima",1800.0,1800.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-instalacion-y-mantenimiento-de-alarmas-instalacion-cctv-alarmas-en-puente-piedra-11221D420E6366F161373E686DCF3405#lc=ListOffers-Score0-19
enfermera titulado,TU ENFERMERA,Perú,"Santiago De Surco, Lima",1798.0,1798.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-enfermera-titulado-urgente-en-santiago-de-surco-758565EF0F460A9D61373E686DCF3405#lc=ListOffers-Score3-1
