habilidad_especifica,habilidad,tipo_recurso,titulo,url,habilidad_especifica
General,Hacker News,Artículo,IKEA ditches Zigbee for Thread going all in on Matter smart homes,https://www.theverge.com/smart-home/701697/ikea-matter-thread-new-products-new-smart-home-strategy,General
General,Hacker News,Artículo,RapidRAW: A non-destructive and GPU-accelerated RAW image editor,https://github.com/CyberTimon/RapidRAW,General
Inteligencia Artificial,Hacker News,Artículo,Florida is letting companies make it harder for highly paid workers to swap jobs,https://www.businessinsider.com/florida-made-it-harder-highly-paid-workers-to-swap-jobs-2025-7,Inteligencia Artificial
General,Hacker News,Artículo,Breaking Git with a carriage return and cloning RCE,https://dgl.cx/2025/07/git-clone-submodule-cve-2025-48384,General
General,Hacker News,Artículo,Astro is a return to the fundamentals of the web,https://websmith.studio/blog/astro-is-a-developers-dream/,General
General,Hacker News,Artículo,Using MPC for Anonymous and Private DNA Analysis,https://vishakh.blog/2025/07/08/using-mpc-for-anonymous-and-private-dna-analysis/,General
General,Hacker News,Artículo,A Emoji Reverse Polish Notation Calculator Written in COBOL,https://github.com/ghuntley/cobol-emoji-rpn-calculator,General
Inteligencia Artificial,Hacker News,Artículo,Where can I see Hokusai's Great Wave today?,https://greatwavetoday.com/,Inteligencia Artificial
General,Hacker News,Artículo,ESIM Security,https://security-explorations.com/esim-security.html,General
General,Hacker News,Artículo,"Frame of preference A history of Mac settings, 1984–2004",https://aresluna.org/frame-of-preference/,General
General,Hacker News,Artículo,I'm Building LLM for Satellite Data EarthGPT.app,https://www.earthgpt.app/,General
General,Hacker News,Artículo,Nvidia Becomes First Company to Reach $4T Market Cap,https://www.cnbc.com/2025/07/09/nvidia-4-trillion.html,General
Bases de Datos,Hacker News,Artículo,Supabase MCP can leak your entire SQL database,https://www.generalanalysis.com/blog/supabase-mcp-blog,Bases de Datos
General,Hacker News,Artículo,"Smollm3: Smol, multilingual, long-context reasoner LLM",https://huggingface.co/blog/smollm3,General
General,Hacker News,Artículo,I Ported SAP to a 1976 CPU. It Wasn't That Slow,https://github.com/oisee/zvdb-z80/blob/master/ZVDB-Z80-ABAP.md,General
General,Hacker News,Artículo,Zorin OS,https://zorin.com/os/,General
General,Hacker News,Artículo,Jurisdiction Is Nearly Irrelevant to the Security of Encrypted Messaging Apps,https://soatok.blog/2025/07/09/jurisdiction-is-nearly-irrelevant-to-the-security-of-encrypted-messaging-apps/,General
