habilidad_general,url
Economía,https://www.coursera.org/learn/health-economics-us-healthcare-systems
Finanzas y Contabilidad,https://www.coursera.org/learn/guided-tour-machine-learning-finance
Cloud Computing,https://www.coursera.org/learn/information-technology-and-aws
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-enhance-your-data-analytics-career
Machine Learning / IA,https://www.coursera.org/learn/custom-distributed-training-with-tensorflow
Programación General,https://www.coursera.org/learn/scala-parallel-programming
"JavaScript, Machine Learning / IA",https://www.coursera.org/learn/browser-based-models-tensorflow
"Estrategia y Operaciones, JavaScript",https://www.coursera.org/learn/fundamentals-of-revenue-management
Filosofía,https://www.coursera.org/learn/ai-ethics
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-foundation-models-and-platforms
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-content-creation
Cloud Computing,https://www.coursera.org/learn/artificial-intelligence-microsoft-azure
"Ciencia de Datos, Python",https://www.coursera.org/learn/data-science-2-tus-primeros-pasos-con-python
Go,https://www.coursera.org/learn/golang-concurrency
Marketing Digital,https://www.coursera.org/learn/marketing-digital-pilares
"Desarrollo de Videojuegos, Programación General",https://www.coursera.org/learn/more-programming-unity
"Java, Kotlin / Android",https://www.coursera.org/learn/programandoconjava
Sistemas Operativos,https://www.coursera.org/learn/embedded-operating-system
Machine Learning / IA,https://www.coursera.org/learn/generative-deep-learning-with-tensorflow
Desarrollo de Videojuegos,https://www.coursera.org/learn/video-game-world
Python,https://www.coursera.org/learn/python-and-pandas-for-data-engineering-duke
JavaScript,https://www.coursera.org/learn/javascript-jquery-json
Cloud Computing,https://www.coursera.org/learn/create-machine-learning-models-in-microsoft-azure
Física,https://www.coursera.org/learn/mechanics2
Física,https://www.coursera.org/learn/basis-flight-mechanics
Bases de Datos,https://www.coursera.org/learn/database-structures-and-management-with-mysql
Física,https://www.coursera.org/learn/semiconductor-physics
Física,https://www.coursera.org/learn/spacecraft-dynamics-kinematics
"Java, Programación General",https://www.coursera.org/learn/object-oriented-programming-with-java
Estadística y Probabilidad,https://www.coursera.org/learn/probabilidad
Programación General,https://www.coursera.org/learn/assembling-genomes
"Programación General, Python",https://www.coursera.org/learn/interactive-python-2
Machine Learning / IA,https://www.coursera.org/learn/leveraging-ai-for-enhanced-content-creation
"Filosofía, Machine Learning / IA",https://www.coursera.org/learn/ai-empathy-ethics
Programación General,https://www.coursera.org/learn/dynamic-programming-greedy-algorithms
Gestión de Proyectos,https://www.coursera.org/learn/scaling-agile-and-the-team-of-teams
Cloud Computing,https://www.coursera.org/learn/explore-core-data-concepts-microsoft-azure
Cloud Computing,https://www.coursera.org/learn/aws-fundamentals-migrating-to-the-cloud
Gestión de Proyectos,https://www.coursera.org/learn/combining-scrum-with-other-methodologies
Marketing Digital,https://www.coursera.org/learn/social-media-digital-marketing-fundamentals
