puesto_trabajo,nombre_empresa,pais,region_estado,categoria_busqueda,tipo_contrato,salario,moneda_salario,periodo_salario,plataforma_origen,tipo_fuente_datos,enlace_oferta
Analista de Datos orientado a Desarrollo,INDRA,pe,"San Isidro, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-orientado-a-desarrollo-en-san-isidro-3E18023268A3347F61373E686DCF3405#lc=ListOffers-Score3-15
Analista comercial,Grupo Tawa,pe,"Lima, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-comercial-en-lima-663C5C5944569FA461373E686DCF3405#lc=ListOffers-Score3-16
Asistente Programador  Web,NA,pe,"Bellavista, Callao",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-programador-web-callao-disponibilidad-inmediata-en-bellavista-6C0E69E90FF0C2B861373E686DCF3405#lc=ListOffers-Score3-17
Desarrollador Jr. Fullstack Mobile,LUCKY SAC,pe,"Miraflores, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-jr-fullstack-mobile-en-miraflores-D2BA0ADA38164B7261373E686DCF3405#lc=ListOffers-Score3-18
Analista Programador de Base de Datos,TeamSoft  S.A.C.,pe,"San Isidro, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-de-base-de-datos-en-san-isidro-4B642FE28D4B37D161373E686DCF3405#lc=ListOffers-Score3-19
Asistente Administrativo Regional (Sede Arequipa),CAJA AREQUIPA,pe,"Arequipa, Arequipa",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-administrativo-regional-sede-arequipa-en-arequipa-A87EC278FE7D663561373E686DCF3405#lc=ListOffers-Score3-0
Analista de Comercial (Experiencia en Procesamiento de Datos),NA,pe,"Carabayllo, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-comercial-experiencia-en-procesamiento-de-datos-en-carabayllo-5232633972FE12CA61373E686DCF3405#lc=ListOffers-Score3-1
Analista Programador,WORK CAPIT S.A.C.,pe,"Ate, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-en-ate-794D69559193456761373E686DCF3405#lc=ListOffers-Score3-2
Desarrollador Android,NA,pe,"Olmos, Lambayeque",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-android-olmos-en-olmos-3854C6FAB1AAB84F61373E686DCF3405#lc=ListOffers-Score3-3
Analista de Datos Comercial,NA,pe,"Carabayllo, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-comercial-en-carabayllo-CC8FFC7D88E9424A61373E686DCF3405#lc=ListOffers-Score3-4
Desarrollador Web,NA,pe,"Olmos, Lambayeque",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-web-olmos-en-olmos-51C0586C452578D761373E686DCF3405#lc=ListOffers-Score3-5
