puesto_trabajo,nombre_empresa,pais,region_estado,tipo_contrato,salario_minimo,salario_maximo,moneda_salario,periodo_salario,plataforma_origen,tipo_fuente_datos,enlace_oferta
Orientador de Atención al Cliente,ICPNA,Perú,"Miraflores, Lima",NA,"S/. 600,00 (Mensual)","S/. 600,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-orientador-de-atencion-al-cliente-en-miraflores-CB7D45D8DEABC0A161373E686DCF3405#lc=ListOffers-Score0-4
Almacenero,IMPORT EXPORT TOOLS SAC,Perú,"Arequipa, Arequipa",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-almacenero-en-arequipa-F033D7AFE1365BDE61373E686DCF3405#lc=ListOffers-Score0-5
Community Manager Senior,CORPORACION AUTOPLASEN S.A.C.,Perú,"San Borja, Lima",NA,"S/. 2.000,00 (Mensual)","S/. 2.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-community-manager-senior-con-perfil-creativo-y-digital-360-en-san-borja-51E5120EA90BCFFE61373E686DCF3405#lc=ListOffers-Score0-6
Técnico Electricista Industrial,IMPORT EXPORT TOOLS SAC,Perú,"Lima, Lima",NA,"S/. 1.800,00 (Mensual)","S/. 1.800,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-electricista-industrial-en-lima-1CC257350531FEA461373E686DCF3405#lc=ListOffers-Score0-7
Asistente Administrativo,IMPORT EXPORT TOOLS SAC,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-administrativo-en-lima-709C117B2E75156361373E686DCF3405#lc=ListOffers-Score0-8
Técnico Conductor en HFC o FTTH,BEST CABLE PERU,Perú,"Puente Piedra, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-conductor-en-hfc-o-ftth-en-puente-piedra-EB6EC7697CFE013B61373E686DCF3405#lc=ListOffers-Score0-9
Ejecutivo de Ventas,IMPORT EXPORT TOOLS SAC,Perú,"Lima, Lima",NA,"S/. 1.400,00 (Mensual)","S/. 1.400,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-de-ventas-en-lima-22988563FC58498B61373E686DCF3405#lc=ListOffers-Score0-10
Vendedor de Campo,BEST CABLE PERU,Perú,"Chiclayo, Lambayeque",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-vendedor-de-campo-telecomunicaciones-en-chiclayo-B258A31E6B21CFED61373E686DCF3405#lc=ListOffers-Score0-11
Urgente! Asesor de comercial con experiencia productos tecnológicos,RED SOLUCIONES SAC,Perú,"Lima, Lima",NA,"S/. 1.300,00 (Mensual) + Comisiones","S/. 1.300,00 (Mensual) + Comisiones",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-urgente-asesor-de-comercial-con-experiencia-productos-tecnologicos-experiencia-en-facturacion-electronica-en-lima-C56D10B6057C571A61373E686DCF3405#lc=ListOffers-Score0-12
Docente de Ingles Chimbote,ICPNA,Perú,"Nuevo Chimbote, Ancash",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-de-ingles-chimbote-part-time-en-nuevo-chimbote-EB7CE2F8065F20B161373E686DCF3405#lc=ListOffers-Score0-13
Empleada del Hogar,IMPORT EXPORT TOOLS SAC,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-empleada-del-hogar-cama-adentro-en-lima-D42E1636A4DA4A2361373E686DCF3405#lc=ListOffers-Score0-14
Técnico Conductor en HFC y FTTH,BEST CABLE PERU,Perú,"La Victoria, Lambayeque",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-conductor-en-hfc-y-ftth-en-la-victoria-DAD311B13530614861373E686DCF3405#lc=ListOffers-Score0-15
Técnico Conductor en HFC o FTTH,BEST CABLE PERU,Perú,"Guadalupe, La Libertad",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-conductor-en-hfc-o-ftth-en-guadalupe-B055B8D2C993517461373E686DCF3405#lc=ListOffers-Score0-16
Supervisor de Mantenimiento,TRANSPORTES SAN ALEJANDRO S.A.C.,Perú,"San Luis, Lima",NA,"S/. 2.300,00 (Mensual)","S/. 2.300,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-supervisor-de-mantenimiento-compras-en-san-luis-C2CB55BF6485F96B61373E686DCF3405#lc=ListOffers-Score0-17
Enfermera de medio día,A & C Scientific S.A.C.,Perú,"Santiago De Surco, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-enfermera-de-medio-dia-turno-en-santiago-de-surco-FB626822914E7C1261373E686DCF3405#lc=ListOffers-Score0-18
tecnico electronico,RIMECA SYSTEMS,Perú,"Puente Piedra, Lima",NA,"S/. 1.800,00 (Mensual)","S/. 1.800,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-instalacion-y-mantenimiento-de-alarmas-instalacion-cctv-alarmas-en-puente-piedra-11221D420E6366F161373E686DCF3405#lc=ListOffers-Score0-19
Vendedor,A & C Scientific S.A.C.,Perú,"Magdalena Del Mar, Lima",Presencial y remoto,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-vendedor-con-experiencia-en-magdalena-del-mar-19AA1145E49CB97E61373E686DCF3405#lc=ListOffers-Score0-0
Work From Home Senior Python Developer / Ref. 0071,BairesDev LLC,Perú,"Santiago De Surco, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-senior-python-developer-ref-0071-en-santiago-de-surco-B4D352E34A2A54FD61373E686DCF3405#lc=ListOffers-Score4-0
Trabajo Desde Casa Python Tech Lead / Ref. 0071,BairesDev LLC,Perú,"Iquitos, Loreto",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-python-tech-lead-ref-0071-en-iquitos-77D432F7A1368A7C61373E686DCF3405#lc=ListOffers-Score4-1
Trabajo Desde Casa Desarrollador Python Senior / Ref. 0071,BairesDev LLC,Perú,"Alis, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-python-senior-ref-0071-en-alis-0559AB415936DE0861373E686DCF3405#lc=ListOffers-Score4-2
Analista Programador con experiencia en Python,Jet Perú S.A.,Perú,"San Isidro, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-con-experiencia-en-python-en-san-isidro-D9295DDF24566EB761373E686DCF3405#lc=ListOffers-Score4-3
Analista programador.python,Cantol S.A.C.,Perú,"Ate, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programadorpython-ate-en-ate-755941041025BCEB61373E686DCF3405#lc=ListOffers-Score4-4
Work From Home Python Developer / Ref. 0071,BairesDev LLC,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-python-developer-ref-0071-en-lima-1B8BE3365ED6480361373E686DCF3405#lc=ListOffers-Score4-5
Work From Home Python + Django Junior Developer / Ref. 0071,BairesDev LLC,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-python-django-junior-developer-ref-0071-en-lima-1CCF524BE38C035B61373E686DCF3405#lc=ListOffers-Score4-6
Work From Home Python Developer and Data Engineer / Ref. 0071,BairesDev LLC,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-python-developer-and-data-engineer-ref-0071-en-lima-DF31EEA677397CF961373E686DCF3405#lc=ListOffers-Score4-7
Work From Home Python Tech Lead / Ref. 0071,BairesDev LLC,Perú,"Piura, Piura",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-python-tech-lead-ref-0071-en-piura-B378519957830A5561373E686DCF3405#lc=ListOffers-Score4-8
Work From Home Python Engineer / Ref. 0071,BairesDev LLC,Perú,"Piura, Piura",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-python-engineer-ref-0071-en-piura-84E82660360C29BB61373E686DCF3405#lc=ListOffers-Score4-9
Trabajo Desde Casa Desarrollador Python Junior / Ref. 0071,BairesDev LLC,Perú,"Piura, Piura",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-python-junior-ref-0071-en-piura-5D97AA763E4A4E1C61373E686DCF3405#lc=ListOffers-Score4-10
Trabajo Desde Casa Python Developer / Ref. 0071,BairesDev LLC,Perú,"San Isidro, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-python-developer-ref-0071-en-san-isidro-DD3661DFAF8A86F961373E686DCF3405#lc=ListOffers-Score4-11
Work From Home Junior Developer (Python) / Ref. 0071,BairesDev LLC,Perú,"San Isidro, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-junior-developer-python-ref-0071-en-san-isidro-421C6B9C2CD8E93961373E686DCF3405#lc=ListOffers-Score4-12
Work From Home Python + Django Senior Developer / Ref. 0071,BairesDev LLC,Perú,"Pucallpa, Ucayali",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-python-django-senior-developer-ref-0071-en-pucallpa-BD8D3D657D835BE361373E686DCF3405#lc=ListOffers-Score4-13
Work From Home FullStack Python + React + ML/DS Senior Developer / Ref. 0071,BairesDev LLC,Perú,"Pucallpa, Ucayali",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-fullstack-python-react-mlds-senior-developer-ref-0071-en-pucallpa-710B1352DBFCA96361373E686DCF3405#lc=ListOffers-Score4-14
Work From Home Python Developer / Ref. 0071,BairesDev LLC,Perú,"Trujillo, La Libertad",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-python-developer-ref-0071-en-trujillo-F78F7FB7B62B7C4D61373E686DCF3405#lc=ListOffers-Score4-15
Trabajo Desde Casa Ingeniero Python / Ref. 0071,BairesDev LLC,Perú,"Chiclayo, Lambayeque",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-ingeniero-python-ref-0071-en-chiclayo-A6576F15E152980461373E686DCF3405#lc=ListOffers-Score4-16
Trabajo Desde Casa Python Tech Lead / Ref. 0071,BairesDev LLC,Perú,"Chimbote, Ancash",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-python-tech-lead-ref-0071-en-chimbote-43A7BECA8311F2B461373E686DCF3405#lc=ListOffers-Score4-17
Work From Home Python Junior Developer / Ref. 0071,BairesDev LLC,Perú,"Huancayo, Junin",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-python-junior-developer-ref-0071-en-huancayo-B447D87EB167407161373E686DCF3405#lc=ListOffers-Score4-18
Docente C/experiencia en Python,NA,Perú,"Ate, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-cexperiencia-en-python-clase-remota-en-ate-E4EE8B23DBE3C09B61373E686DCF3405#lc=ListOffers-Score4-19
Trabajo Desde Casa Desarrollador Python Backend / Investigación y Desarrollo / Ref. 0071,BairesDev LLC,Perú,"Pucallpa, Ucayali",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-python-backend-investigacion-y-desarrollo-ref-0071-en-pucallpa-3BB2D07E723F27C761373E686DCF3405#lc=ListOffers-Score4-0
Trabajo Desde Casa Desarrollador Backend Junior Python / Investigación + Desarrollo / Ref. 0071,BairesDev LLC,Perú,"Pucallpa, Ucayali",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-backend-junior-python-investigacion-desarrollo-ref-0071-en-pucallpa-08D7989C9FE17AE561373E686DCF3405#lc=ListOffers-Score4-1
Work From Home Python + Django Junior Developer / Ref. 0071,BairesDev LLC,Perú,"San Isidro, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-python-django-junior-developer-ref-0071-en-san-isidro-84122AEB8587227861373E686DCF3405#lc=ListOffers-Score4-2
Work From Home Junior Developer (Python) / Ref. 0071,BairesDev LLC,Perú,"Pucallpa, Ucayali",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-junior-developer-python-ref-0071-en-pucallpa-5C5B6582D6E719B361373E686DCF3405#lc=ListOffers-Score4-3
Trabajo Desde Casa Ingeniero Python / Ref. 0071,BairesDev LLC,Perú,"Chiclayo, Lambayeque",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-ingeniero-python-ref-0071-en-chiclayo-00AFB823A238328361373E686DCF3405#lc=ListOffers-Score4-4
Trabajo Desde Casa Python Developer / Ref. 0071,BairesDev LLC,Perú,"Chiclayo, Lambayeque",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-python-developer-ref-0071-en-chiclayo-14ECCAED3C91922E61373E686DCF3405#lc=ListOffers-Score4-5
Work From Home Python + Django Senior Developer / Ref. 0071,BairesDev LLC,Perú,"Santiago De Surco, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-python-django-senior-developer-ref-0071-en-santiago-de-surco-AB5CE3DE44C7BFE761373E686DCF3405#lc=ListOffers-Score4-6
Trabajo Desde Casa Desarrollador Python Junior / Ref. 0071,BairesDev LLC,Perú,"Chachapoyas, Amazonas",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-python-junior-ref-0071-en-chachapoyas-397CDBBF08B99F3D61373E686DCF3405#lc=ListOffers-Score4-7
Work From Home FullStack Python + React + ML/DS Senior Developer / Ref. 0071,BairesDev LLC,Perú,"Alis, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-fullstack-python-react-mlds-senior-developer-ref-0071-en-alis-98F084F9C2001F1061373E686DCF3405#lc=ListOffers-Score4-8
Trabajo Desde Casa Desarrollador Python Backend / Investigación y Desarrollo / Ref. 0071,BairesDev LLC,Perú,"Trujillo, La Libertad",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-python-backend-investigacion-y-desarrollo-ref-0071-en-trujillo-FFF513DBCFC11D0761373E686DCF3405#lc=ListOffers-Score4-9
Trabajo Desde Casa Desarrollador Backend Junior Python / Investigación + Desarrollo / Ref. 0071,BairesDev LLC,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-backend-junior-python-investigacion-desarrollo-ref-0071-en-lima-7A49D8D5C074F1E761373E686DCF3405#lc=ListOffers-Score4-10
Trabajo Desde Casa Python Tech Lead / Ref. 0071,BairesDev LLC,Perú,"Pucallpa, Ucayali",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-python-tech-lead-ref-0071-en-pucallpa-B5693628EA0AF5D161373E686DCF3405#lc=ListOffers-Score4-11
Trabajo Desde Casa Desarrollador Python Backend / Investigación y Desarrollo / Ref. 0071,BairesDev LLC,Perú,"Piura, Piura",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-python-backend-investigacion-y-desarrollo-ref-0071-en-piura-E77888386BDB7AFD61373E686DCF3405#lc=ListOffers-Score4-12
Trabajo Desde Casa Desarrollador Backend Junior Python / Investigación + Desarrollo / Ref. 0071,BairesDev LLC,Perú,"Chimbote, Ancash",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-backend-junior-python-investigacion-desarrollo-ref-0071-en-chimbote-7A5400A1983D002461373E686DCF3405#lc=ListOffers-Score4-13
Analista de Desarrollo de Modelos Estadísticos,Caja Cencosud Del Grupo Scotiabank,Perú,"Miraflores, Lima",Presencial y remoto,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-desarrollo-de-modelos-estadisticos-pythonr-y-sql-en-miraflores-F0BEFC86858894F661373E686DCF3405#lc=ListOffers-Score4-14
Analista de Automatización y Datos – Python y PySpark,Atento Perú,Perú,"Ate, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-automatizacion-y-datos-python-y-pyspark-en-ate-693E3950114E5C1D61373E686DCF3405#lc=ListOffers-Score4-15
Desarrollador Back End / Python,Aincrad,Perú,"San Isidro, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-back-end-python-contrato-inmediato-en-san-isidro-A42380A11A3A81F261373E686DCF3405#lc=ListOffers-Score4-16
Trabajo Desde Casa Desarrollador Python Backend / Investigación y Desarrollo / Ref. 0071,BairesDev LLC,Perú,"Santiago De Surco, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-python-backend-investigacion-y-desarrollo-ref-0071-en-santiago-de-surco-BDE84EFB4585384A61373E686DCF3405#lc=ListOffers-Score4-17
Desarrollador Fullstack Python,NA,Perú,"Chorrillos, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-fullstack-python-con-experiencia-en-chorrillos-9EF188FBB62628C261373E686DCF3405#lc=ListOffers-Score4-18
Trabajo Desde Casa Desarrollador Python Backend / Investigación y Desarrollo / Ref. 0071,BairesDev LLC,Perú,"Arequipa, Arequipa",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-python-backend-investigacion-y-desarrollo-ref-0071-en-arequipa-7636E2EED58A6AB861373E686DCF3405#lc=ListOffers-Score4-19
Analista programador.python,Cantol S.A.C.,Perú,"Ate, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programadorpython-ate-en-ate-7534F69C9BF7461061373E686DCF3405#lc=ListOffers-Score4-0
"Desarrollador web  PhP, Python, Java // Cercado de Lima",Urbano,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-web-php-python-java-cercado-de-lima-disponibilidad-inmediata-en-lima-8AE6526AC376C06461373E686DCF3405#lc=ListOffers-Score4-1
Trabajo Desde Casa Desarrollador Python Backend / Investigación y Desarrollo / Ref. 0071,BairesDev LLC,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-python-backend-investigacion-y-desarrollo-ref-0071-en-lima-20A3C47C67230F7161373E686DCF3405#lc=ListOffers-Score4-2
Analista programador.python,Cantol S.A.C.,Perú,"Ate, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programadorpython-ate-en-ate-96A4B737FE595DF461373E686DCF3405#lc=ListOffers-Score4-3
Python Developer,Pixelstudio S.A.C.,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-python developer-en-lima-B586905FD0E729F661373E686DCF3405#lc=ListOffers-Score4-4
Desarrollador Backend Semi Sr. Python,NAT SOLUCIONES S.A.C.,Perú,"Miraflores, Lima",Presencial y remoto,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-backend-semi-sr-python-hibrido-en-miraflores-28C856495EE5548161373E686DCF3405#lc=ListOffers-Score4-5
Desarrollador BackEnd,INDIGITAL,Perú,"Barranco, Lima",Presencial y remoto,"S/. 2.000,00 (Mensual)","S/. 2.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-backend-hibrido-barranco-en-barranco-559D7E316D513E2961373E686DCF3405#lc=ListOffers-Score3-6
Agile Tech Lead,Caja Rural de Ahorro y Credito Los Andes S.A.,Perú,"Miraflores, Lima",Presencial y remoto,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-agile-tech-lead-lima-en-miraflores-FD24F9D13396B47161373E686DCF3405#lc=ListOffers-Score3-7
Desarrollador Junior – Full Stack,ALS LS PERU S.A.C.,Perú,"Lima, Lima",NA,"S/. 1.500,00 (Mensual)","S/. 1.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-junior-full-stack-laboratorio-ambiental-en-lima-109C5320D211179661373E686DCF3405#lc=ListOffers-Score3-8
Analista de TI,ACS SOLUTIONS PERU S.A.,Perú,"San Isidro, Lima",NA,"S/. 2.500,00 (Mensual)","S/. 2.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-ti-informatica-telecomunicaciones-en-san-isidro-743E1336D5B12A4461373E686DCF3405#lc=ListOffers-Score3-9
Especialista de Herramientas Analíticas de Riesgos,Caja Rural de Ahorro y Credito Los Andes S.A.,Perú,"Miraflores, Lima",Presencial y remoto,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-de-herramientas-analiticas-de-riesgos-en-miraflores-71E800AB6DE51B2061373E686DCF3405#lc=ListOffers-Score3-10
Ingeniero DevOps,Crazy Llama,Perú,"Miraflores, Lima",NA,"S/. 3.000,00 (Mensual)","S/. 3.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-devops-presencial-en-miraflores-F1F70FCE3B202F7761373E686DCF3405#lc=ListOffers-Score3-11
Analista Financiero Contable,Consultoria Greener,Perú,"Santiago De Surco, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-financiero-contable-en-santiago-de-surco-4AFA8E314BCCA11B61373E686DCF3405#lc=ListOffers-Score3-12
Desarrollador en Phyton,Comsitec SAC,Perú,"Huancayo, Junin",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-en-phyton-en-huancayo-772A2CD3CAF367D461373E686DCF3405#lc=ListOffers-Score3-13
Analista de Inteligencia,Entel Connect Center,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-inteligencia-en-lima-D69641879BC1320661373E686DCF3405#lc=ListOffers-Score3-14
Analista de base de datos / sector minero,Manpower,Perú,"Cajamarca, Cajamarca",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-base-de-datos-sector-minero-cajamarca-ref-77168-en-cajamarca-63309DE5DC72002561373E686DCF3405#lc=ListOffers-Score3-15
