company,id,link,location,salary,snippet,source,title,type,updated
Lima Airport Partners,7260276718380826679,https://es.jooble.org/jdp/7260276718380826679,Peru,," Somos el administrador del Aeropuerto Internacional Jorge Chávez.  En Lima Airport creemos en las personas y en el poder de la diversidad. Estamos comprometidos con ofrecer igualdad de oportunidades y promover un ambiente donde cada talento pueda crecer, ser escuchado ...",genoma.work,Inspector SSO de Gestión de Terceros,,2025-06-27T12:53:52.0173545+00:00
Mibanco - PE,-6084323909312573821,https://es.jooble.org/jdp/-6084323909312573821,Peru,," En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el encontramos en búsqueda de una
 persona apasionada, analítica y con grandes ideas para impactar en la vida de los micro y pequeños empresarios del
 país incorporándose a nuestro equipo ...",genoma.work,Analista Senior de Riesgos,,2025-05-30T21:51:50.2930000
Mibanco - PE,4292627113825355478,https://es.jooble.org/jdp/4292627113825355478,Peru,,"&nbsp;...Líder Técnico de Sistemas  . 
¿Cuáles serían tus principales responsabilidades?   
- Crea especificaciones técnicas de diseño de <b>software </b>y ayuda en el dimensionamiento de requerimientos y dependencias técnicas y evalúa el impacto del riesgo en desarrollo. Revisa y...&nbsp;",genoma.work,Líder Técnico de Sistemas,,2025-06-26T18:51:13.6283834+00:00
Mibanco - PE,3664264202456379222,https://es.jooble.org/jdp/3664264202456379222,Peru,,"¡Únete a la institución N°1 en microfinanzas de Latinoamérica y el Caribe y la N°2 a nivel mundial!
 En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, nos encontramos en búsqueda de una persona apasionada, analítica y con grandes ideas para impactar...",genoma.work,Analista de Nuevos Modelos Digitales - Gestión Financiera.,,2025-07-01T19:40:36.4240187+00:00
Jockey Plaza Perú,-2726437625138434187,https://es.jooble.org/jdp/-2726437625138434187,Peru,," Misión:  Apoyar al área contable en el correcto registro de la información financiera. 
 Funciones: 
· Apoyar al área contable en el registro contable de comprobantes de pagos y asientos contables en los respectivos ERP Sap, Solution y de facturación electrónica. 
·...",genoma.work,Practicante de contabilidad,,2025-07-11T00:51:46.3238240+00:00
Lima Airport Partners,-6180069980527947982,https://es.jooble.org/jdp/-6180069980527947982,Peru,," Somos el administrador del Aeropuerto Internacional Jorge Chávez.  En Lima Airport creemos en las personas y en el poder de la diversidad. Estamos comprometidos con ofrecer igualdad de oportunidades y promover un ambiente donde cada talento pueda crecer, ser escuchado ...",genoma.work,Practicante Preprofesional de Gestión Laboral y SSO,,2025-07-11T00:51:47.0722970+00:00
Lima Airport Partners,4340708526491896951,https://es.jooble.org/jdp/4340708526491896951,Peru,," Somos el administrador del Aeropuerto Internacional Jorge Chávez.  En Lima Airport creemos en las personas y en el poder de la diversidad. Estamos comprometidos con ofrecer igualdad de oportunidades y promover un ambiente donde cada talento pueda crecer, ser escuchado ...",genoma.work,Practicante Profesional de Gestión Ambiental,,2025-07-11T00:51:46.6785681+00:00
Mibanco - PE,-4017616618412033949,https://es.jooble.org/jdp/-4017616618412033949,Peru,," Únete a la institución N°1 en microfinanzas de Latinoamérica y el Caribe y la N°2 a nivel mundial!
 
 En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el propósito de transformar las vidas de los peruanos a través de la inclusión financiera...",genoma.work,Practicante de Administración de Personal,,2025-07-03T00:51:14.1727752+00:00
Mibanco - PE,-4910663903617676500,https://es.jooble.org/jdp/-4910663903617676500,Peru,," En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el encontramos en búsqueda de una persona apasionada, analítica y con grandes ideas para impactar en la vida de los micro y pequeños empresarios del país incorporándose a nuestro equipo como...",genoma.work,Especialista de Inteligencia y Analítica Avanzada (Analytics Translator),,2025-05-23T00:56:09.3541880+00:00
Mibanco - PE,-5606551022059653779,https://es.jooble.org/jdp/-5606551022059653779,Peru,," En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el propósito de transformar las vidas de los peruanos a través de la inclusión financiera. Por ello, nos encontramos en búsqueda de una persona apasionada, analítica y con grandes ideas para...",genoma.work,Practicante de Salud Ocupacional,,2025-06-23T18:51:30.9472522+00:00
Mibanco - PE,4852554514458785688,https://es.jooble.org/jdp/4852554514458785688,Peru,," En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el encontramos en búsqueda de una persona apasionada, analítica y con grandes ideas para impactar en la vida de los micro y pequeños empresarios del país incorporándose a nuestro equipo como...",genoma.work,Subgerente de Contabilidad de Impuestos,,2025-06-11T00:51:36.1352163+00:00
Lima Airport Partners,-6209669043823672392,https://es.jooble.org/jdp/-6209669043823672392,Peru,," Somos el administrador del Aeropuerto Internacional Jorge Chávez.  En Lima Airport creemos en las personas y en el poder de la diversidad. Estamos comprometidos con ofrecer igualdad de oportunidades y promover un ambiente donde cada talento pueda crecer, ser escuchado ...",genoma.work,Especialista de Gestión Laboral,,2025-07-10T00:51:46.8937416+00:00
Mibanco - PE,-619045136324534686,https://es.jooble.org/jdp/-619045136324534686,Peru,," Únete a la institución N°1 en microfinanzas de Latinoamérica y el Caribe y la N°2 a nivel mundial!
 
 En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el propósito de transformar las vidas de los peruanos a través de la inclusión financiera...",genoma.work,Practicante de Planeamiento de Agencias y Capacity,,2025-07-11T00:51:46.5451397+00:00
Lima Airport Partners,1373537497037007223,https://es.jooble.org/jdp/1373537497037007223,Peru,," Somos el administrador del Aeropuerto Internacional Jorge Chávez.  En Lima Airport creemos en las personas y en el poder de la diversidad. Estamos comprometidos con ofrecer igualdad de oportunidades y promover un ambiente donde cada talento pueda crecer, ser escuchado ...",genoma.work,MEP Coordinator,,2025-07-11T00:51:46.5870099+00:00
Mibanco - PE,209910226318036243,https://es.jooble.org/jdp/209910226318036243,Peru,," Únete a la institución N°1 en microfinanzas de Latinoamérica y el Caribe y la N°2 a nivel mundial!
 En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el propósito de transformar las vidas de los peruanos a través de la inclusión financiera...",genoma.work,Analista de Planeamiento de Agencias,,2025-04-30T21:51:23.9400000
Lima Airport Partners,-2361940440515862220,https://es.jooble.org/jdp/-2361940440515862220,Peru,," Somos el administrador del Aeropuerto Internacional Jorge Chávez.  En Lima Airport creemos en las personas y en el poder de la diversidad. Estamos comprometidos con ofrecer igualdad de oportunidades y promover un ambiente donde cada talento pueda crecer, ser escuchado ...",genoma.work,Analista senior de infraestructura / Analista pleno de infraestructura,,2025-07-03T00:51:14.4861968+00:00
Lima Airport Partners,-8954540438640393881,https://es.jooble.org/jdp/-8954540438640393881,Peru,,"&nbsp;...el desarrollo para todos y todas!
¡Queremos conocerte!
 Te invitamos a formar parte del proceso de selección para el puesto de  <b>Técnico </b>de Mantenimiento de Sistemas Eléctricos para nuestra Gerencia Central de Operaciones. 
¿Listo para aportar al equipo?
 El propósito...&nbsp;",genoma.work,Técnico de Mantenimiento de Sistemas Eléctricos (Temporal - 6 meses),,2025-07-11T00:51:46.2183987+00:00
Lima Airport Partners,-8954540438640393881,https://es.jooble.org/jdp/-8954540438640393881,Peru,," Somos el administrador del Aeropuerto Internacional Jorge Chávez.  En Lima Airport creemos en las personas y en el poder de la diversidad. Estamos comprometidos con ofrecer igualdad de oportunidades y promover un ambiente donde cada talento pueda crecer, ser escuchado ...",genoma.work,Técnico de Mantenimiento de Sistemas Eléctricos (Temporal - 6 meses),,2025-07-11T00:51:46.2183987+00:00
Mibanco - PE,4292627113825355478,https://es.jooble.org/jdp/4292627113825355478,Peru,,"&nbsp;...KISS y otros fundamentos de diseño de software. 
- Clean Code: Prácticas para escribir código mantenible, legible y escalable. 
- <b>DevOps </b>y CI/CD: Procesos automatizados de integración y despliegue continuo. 
- Testing: Estrategias de pruebas unitarias, integración,...&nbsp;",genoma.work,Líder Técnico de Sistemas,,2025-06-26T18:51:13.6283834+00:00
Mibanco - PE,-6157113917337948671,https://es.jooble.org/jdp/-6157113917337948671,Peru,,"&nbsp;...Ciberseguridad. 
- 02 años de experiencia en puestos similares. 
- Conocimientos de COBIT, Ciberseguridad, Seguridad de la Información, <b>Cloud,</b> Etical Hacking, Auditoría, Informática Forense y Gestión de Proyectos. 
- Manejo de Excel, SQL y Power BI a nivel intermedio. 
¿...&nbsp;",genoma.work,Gerente/a de Seguridad Ofensiva,,2025-06-22T00:51:49.7826691+00:00
Lima Airport Partners,-2361940440515862220,https://es.jooble.org/jdp/-2361940440515862220,Peru,,"&nbsp;.... 
- Conocimiento de las normas técnicas peruanas. 
- Conocimiento de: Redes y Comunicaciones, Centrales Telefónicas on Premise y <b>Cloud,</b> Administración y configuración de Routers, Switch de accesos, access point, multiplexores, herramientas de balanceadoras de Carga,...&nbsp;",genoma.work,Analista senior de infraestructura / Analista pleno de infraestructura,,2025-07-03T00:51:14.4861968+00:00
Mibanco - PE,4292627113825355478,https://es.jooble.org/jdp/4292627113825355478,Peru,,"&nbsp;...Líder Técnico de Sistemas  . 
¿Cuáles serían tus principales responsabilidades?   
- Crea especificaciones técnicas de diseño de <b>software </b>y ayuda en el dimensionamiento de requerimientos y dependencias técnicas y evalúa el impacto del riesgo en desarrollo. Revisa y...&nbsp;",genoma.work,Líder Técnico de Sistemas,,2025-06-26T18:51:13.6283834+00:00
