puesto_estandarizado,nombre_empresa,ubicacion,modalidad,salario
Ejecutivo Ventas Software,Automatizate Negocios,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,SANNA,,,
Ejecutivo Ventas Software,Especialidades Medicas Universal S.A,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,,,Presencial y remoto,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,BEKIT,,,
Ejecutivo Ventas Software,Electro  Regsa  S.A.C,,,
Ejecutivo Ventas Software,Classy Food Peru,,,"S/. 1.300,00 (Mensual)"
Ejecutivo Ventas Software,Financiera QAPAQ,,,
Ejecutivo Ventas Software,Financiera QAPAQ,,,
Ejecutivo Ventas Software,EXCELSIUS,,Presencial y remoto,
Ejecutivo Ventas Software,YT GROUP,,,"S/. 1.200,00 (Mensual)"
Ejecutivo Ventas Software,YT GROUP,,Presencial y remoto,"S/. 1.200,00 (Mensual)"
Ejecutivo Ventas Software,Clinica Internacional SA,,,
Ejecutivo Ventas Software,Financiera QAPAQ,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Grupo Intercorp,,,
Ejecutivo Ventas Software,Country Club de Villa A. C.,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,
Ejecutivo Ventas Software,MOTORLINK S.A.C.,,,"S/. 1.500,00 (Mensual)"
Ejecutivo Ventas Software,Los Portales,,,
Ejecutivo Ventas Software,Los Portales,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Centro Nacional de Servicios - CNS,,,"S/. 1.700,00 (Mensual)"
Ejecutivo Ventas Software,Centro Nacional de Servicios - CNS,,Presencial y remoto,"S/. 1.699,00 (Mensual)"
Ejecutivo Ventas Software,Grupo San Pablo,,,
Ejecutivo Ventas Software,FALABELLA CORPORATIVO PERÚ,,,
Ejecutivo Ventas Software,INKADEVS S.A.C.,,,
Ejecutivo Ventas Software,Financiera QAPAQ,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,SANNA,,,
Ejecutivo Ventas Software,HENKO LOGISTICS SAC,,Presencial y remoto,
Ejecutivo Ventas Software,Fonbienes Peru EAFC S.A..,,,
Ejecutivo Ventas Software,GROWTH LAB E.I.R.L.,,,
Ejecutivo Ventas Software,Financiera QAPAQ,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Daryza S.A.C.,,,"S/. 1.500,00 (Mensual)"
Ejecutivo Ventas Software,Daryza S.A.C.,,,"S/. 1.500,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,SAM,,,
Ejecutivo Ventas Software,Manpower,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Hagroy Electronic,,,"S/. 1.800,00 (Mensual) + Comisiones"
