puesto_estandarizado,nombre_empresa,ubicacion,modalidad,salario
Atencion Cliente 1400,Tienda Artemas,,,1200.0
Atencion Cliente 1400,KICKPRO S.A.C.,,,565.0
Atencion Cliente 1400,Atento Perú,,,
Atencion Cliente 1400,Atento Perú,,,
Atencion Cliente 1400,Apuesta Total,,,1130.0
Atencion Cliente 1400,ACACIA MELAMINA,,,1500.0
Atencion Cliente 1400,Grupo Tawa,,,
Atencion Cliente 1400,Apuesta Total,,,1130.0
Atencion Cliente 1400,GRUPO JBA,,,1400.0
Atencion Cliente 1400,Apuesta Total,,,1130.0
Atencion Cliente 1400,Apuesta Total,,,1130.0
Atencion Cliente 1400,URI RAMEN,,,1200.0
Atencion Cliente 1400,Atento Perú,,,
Atencion Cliente 1400,URI RAMEN,,,
Atencion Cliente 1400,UROZEN,,,
Atencion Cliente 1400,Apuesta Total,,,1130.0
Atencion Cliente 1400,Adecco Perú S.A.,,,
Atencion Cliente 1400,OTTO GRILL,,,
Atencion Cliente 1400,Súmate al Éxito,,,1100.0
Atencion Cliente 1400,LIMA BEAUTY DISTRIBUTORS SOCIEDAD ANONIMA CERRADA,,,1336.0
Atencion Cliente 1400,Adecco Perú S.A.,,,
Atencion Cliente 1400,Dolce Delizia EIRL,,,1130.0
Atencion Cliente 1400,Adecco Perú S.A.,,,
Atencion Cliente 1400,Atento Perú,,,
Atencion Cliente 1400,Adecco Perú S.A.,,,
Atencion Cliente 1400,Atento Perú,,,
Atencion Cliente 1400,Adecco Perú S.A.,,,
Atencion Cliente 1400,S.G NATCLAR SAC,,,1130.0
Atencion Cliente 1400,Apuesta Total,,,1130.0
Atencion Cliente 1400,Atento Perú,,,
Atencion Cliente 1400,Apuesta Total,,,1130.0
Atencion Cliente 1400,GRUPO JBA,,,1400.0
Atencion Cliente 1400,Konecta,,,1130.0
Atencion Cliente 1400,Apuesta Total,,,1130.0
Atencion Cliente 1400,Atento Perú,,,
Atencion Cliente 1400,Konecta,,,1130.0
