puesto_estandarizado,empresa,ubicacion,modalidad,salario_estimado
Otro,"Técnico de mantenimiento para Lima / Sueldo S/2,103 + S/300 de movilidad",No disponible,No disponible,
Otro,"Técnico de mantenimiento para Tingo María / Sueldo S/2,103 + S/300 de movilidad / Trabajo remoto",No disponible,No disponible,
Otro,Escuela de Negocios MiBanco/ Ag. Israel/ MiBanco / Movilidad + Comisiones  + Utilidades,No disponible,No disponible,
Otro,Soporte Técnico/La Victoria/Temporal,No disponible,No disponible,
Otro,Obrero de Almacén Campo,No disponible,No disponible,
Otro,Docente Pregrado Trabajo de Investigación de Enfermería,No disponible,No disponible,
Otro,Auxiliar de Soporte TI / Iquitos,No disponible,No disponible,
Otro,Docente Pregrado Nutrición y Dietoterapia,No disponible,No disponible,
Otro,Trabajo Desde Casa Analista de Soporte de TI / Ref. 0080,No disponible,No disponible,
Otro,Auxiliar de Soporte TI / Pucallpa,No disponible,No disponible,
Otro,"Docente Pregrado Microbiología y parasitología, Biología celular",No disponible,No disponible,
Otro,Auxiliar de Soporte TI / Tacna,No disponible,No disponible,
Otro,"Docente Pregrado Software y tecnología en la salud, Enfermería en salud del niño y adolescente II",No disponible,No disponible,
Otro,Auxiliar de operaciones post cosecha Dirigido a Mujeres y Hombres,No disponible,No disponible,
Otro,Gestor de Cobranza Part Time / Lima ( Cono Norte y Cono Sur),No disponible,No disponible,
Científico de Datos,Data Scientist,No disponible,No disponible,
Otro,Analista de Planificación Académica,No disponible,No disponible,
Otro,Docente Pregrado de Taller de Inteligencia Intrapersonal e Interpersonal,No disponible,No disponible,
Otro,Supervisor de Gestión Tecnológica y Soporte TI,No disponible,No disponible,
Otro,Trabajo Desde Casa Ingeniero ETL / Ref. 0339,No disponible,No disponible,
Otro,Gestor de Cobranza  Part Time  / Norte,No disponible,No disponible,
Otro,Digitador/a  Arándano,No disponible,No disponible,
Otro,Docente Pregrado de Desarrollo de Hábitos Saludables,No disponible,No disponible,
Otro,Asesor de Ventas Campo Sector Automotriz / Repuestos,No disponible,No disponible,
Otro,Asesor/ Soporte Técnico de tienda Mall Aventura SJL,No disponible,No disponible,
Desarrollador de Software,Analista programador Full Stack,No disponible,No disponible,
Otro,asistente contabilidad,No disponible,No disponible,
Desarrollador de Software,Desarrollador de Software,No disponible,Presencial y remoto,
Otro,Analista de Servidores,No disponible,No disponible,
Otro,Buscamos Asesor de Ventas Campo (Repuestos Automotrices),No disponible,No disponible,
Otro,Practicante Profesional  Soporte técnico – Service Desk,No disponible,No disponible,
Otro,Ingeniero de Desarrollo Digital Junior,No disponible,Presencial y remoto,
Otro,Se busca Teleoperadores de Ventas Para Trabajo Remoto! Full Time 8Am a 5Pm Home Office,No disponible,No disponible,
Otro,Especialista de Cobranza,No disponible,No disponible,
Otro,Asesor/a call center ventas Internet,No disponible,No disponible,
Otro,Cajera Administrativa,No disponible,No disponible,
Otro,Ejecutiva de Operaciones / Sullana,No disponible,No disponible,
Otro,secretaria,No disponible,No disponible,
Otro,Controlador Satelital,No disponible,No disponible,
Otro,Asesor de Negocios La Negrita,No disponible,No disponible,
Otro,Auxiliar Administrativo/a,No disponible,No disponible,
Analista Funcional,Analista de sistemas,No disponible,No disponible,
Otro,Analista de Nómina,No disponible,No disponible,
Otro,Analista de Soporte en Ayacucho Huamanga,No disponible,No disponible,
Otro,"Medico Asistencial Espinar, Cusco 10x10",No disponible,No disponible,
Otro,Atención al cliente,No disponible,No disponible,
Otro,Auxiliar  en Contabilidad / Tiempo Completo,No disponible,No disponible,
Otro,Vendedor de Repuestos / Rubro Automotriz,No disponible,No disponible,
Otro,Supervisor de Seguridad Jr.,No disponible,No disponible,
Otro,Asistente de Almacén / Villa El Salvador,No disponible,No disponible,
Desarrollador de Software,Trabajo Desde Casa Desarrollador ASP.NET / Investigación y Desarrollo / Ref. 0001,No disponible,No disponible,
Desarrollador de Software,Desarrollador Fullstack .NET,No disponible,No disponible,
Otro,Auxiliar Contable,No disponible,No disponible,
Desarrollador de Software,Desarrollador web con experiencia PHP   Laravel,No disponible,No disponible,
Otro,Supervisor de Campo,No disponible,Presencial y remoto,
Otro,Arquitecto de integraciones,No disponible,No disponible,
Otro,Asistente de Infraestructura y telecomunicaciones,No disponible,No disponible,
Otro,Asistente de recursos humanos (Grifo en Chorrillos),No disponible,No disponible,
Otro,Jefe de Recursos Humanos,No disponible,No disponible,
Otro,Recruiter IT,No disponible,No disponible,
Otro,Supervisor FM Arquitecto,No disponible,No disponible,
Otro,Especialista de IA generativa,No disponible,Presencial y remoto,
Otro,Médico internista o emergenciologo o intensivista,No disponible,No disponible,
Desarrollador de Software,Frontend Developer Angular,No disponible,Presencial y remoto,
Otro,Auxiliar de sistemas,No disponible,No disponible,
Otro,Operador de GPS,No disponible,No disponible,
Otro,Analista de costos,No disponible,No disponible,
Desarrollador de Software,Analista Desarrollador  Senior de TI sede San Juan de Miraflores,No disponible,No disponible,
Otro,Ate: Asesor Comercial de Proyectos,No disponible,No disponible,
Otro,Asistente de soporte técnico N2 / La Victoria,No disponible,No disponible,
Otro,Técnico en Mantenimiento de Plataformas,No disponible,No disponible,
Otro,Mesa de ayuda,No disponible,No disponible,
Otro,asistente/a de márketing,No disponible,No disponible,
Otro,Analista de Créditos consumo  Urubamba,No disponible,No disponible,
