puesto_estandarizado,empresa,ubicacion,modalidad,salario_estimado
Técnico de Sistemas TI,EUROFRESH PERU SAC,,,
Analista de Sistemas,L&M Medical Supplies,,,
Técnico de mantenimiento de sistemas contra incendios,Fire Test,,,
Gestor de Proyectos en Sistemas Contra Incendio,CELTA SERVICIOS GENERALES S.A.C.,,,
Asesor Comercial en Sistemas de Facturación Electrónica,FACTURALAYA SRL,,Presencial y remoto,
ingeniero sistemas,JYMDA INGENIEROS S.A.C.,,,
Clasificado por Reglas,Computer Corporacion,,,
Asistente de Sistemas Integrados de Gestión SIG,PRAXIS ECOLOGY SAC,,,
Clasificado por Reglas,BURGA BOTELLO MARKO AURELIO,,Presencial y remoto,
Practicante de Sistemas ING Pre venta,CLIC IT SAC,,,
Consultor,SIG TOOLS,,Presencial y remoto,
técnico sistemas,DEBRA IMPORT EXPORT E.I.R.L,,,
asistente/a de operaciones,COOPERATIVA CULTURAL IMPORT,,,
Asistente de Sistemas L1,Itera s.a.c.,,,
Técnico sistema de incendio y cámara seguridad.,JB CONSULTING GROUP S.A.C,,,
supervisor/a de operaciones,FIRE CONTROL INGENIEROS SAC,,,
Mecánico Mantenimiento,Penta Gas SAC,,,
Practicante Profesional de Sistemas y/o Informática,CDI PERÚ,,,
Agente de Ventas,ROGROIMSAC,,,
Analista programador/a de sistemas,Cormei Contratistas Generales SAC,,,
Tec. de mantenimiento,A & S SYSTEMS CONTROL S.A.C.,,,
Analista de sistema,SYSTEMBASE TELECOMUNICACIONES E.I.R.L,,,
Técnico en Redes y Sistemas,CAPTUS SOLUCIONES TECNOLOGICAS S.A.C.,,,
Clasificado por Reglas,NANOTECH SOLUTIONS SAC,,Presencial y remoto,
Asistente de Sistemas y Proyectos,ODYBANK E.I.R.L.,,Presencial y remoto,
Asistente contable,DONAYRE VARGAS JAMES PAUL,,,
Auxiliar Sistema de Gestión,PROINAM S.A.C.,,,
Practicante en ingenieria de sistemas,MARCOS AUDITORES SAC,,,
técnico de sistemas automotrices con experiencia en diagnóstico electrónico toyota,TOYOTA DEL PERU S A,,,
asistente administrativo,TRAVELCOIN,,,
auxiliar administrativo contable,EMPRESA M&M SERVICIOS S.A.C.,,,
Operador de Base Datos Oracle / Remoto,,,,
Backoffice con experiencia en préstamos por convenios,EXPANSION,,,
Operarios limpieza con experiencia para trabajar cerca al Jockey Plaza,EULEN del Perú,,,
Jefe de Taller  / Chungar,Multicosailor SAC,,,
Auxiliar de Créditos y Cobranzas,,,,
Operarios limpieza con experiencia para trabajar cerca al Jockey Plaza,EULEN del Perú,,,
Operarios limpieza con experiencia para trabajar cerca al Jockey Plaza,EULEN del Perú,,,
Ayudante de cocina Bajo régimen 21x7 Para campamento en Cusco,Sodexo Perú S.A.C.,,,
Buscamos Operario de limpieza para trabajar en Clínica en el Distrito de Magdalena,EULEN del Perú,,,
Coordinador Proyecto Digitalización de Imagenes Médicos,Grupo San Pablo,,,
Analista de Calidad de Semillas/Rubro Agricultura/Callao,Manpower,,,
Administrador de Base Datos / Remoto,,,,
Técnico Supervisor de Equipos Trackless / Raura,RESEMIN,,,
Técnico Electricista de Equipos de Minería 1 / UM Cerro Lindo,RESEMIN,,,
Técnico Mecánico Equipos Trackless 1 / UM Inmaculada,RESEMIN,,,
Técnico Mecánico Equipos Trackless 1 / Zona Norte,RESEMIN,,,
Técnico Mecánico Equipos Trackless 1 / UM Marsa,RESEMIN,,,
Supervisor Calidad mecánico y/o Civil  // minería,V y P ICE S.A.C.,,,
Buscamos Operarios limpieza para trabajar en Clinica de San Borja,EULEN del Perú,,,
Asesor de Líneas Especializadas / Banco de Crédito del Perú,Adecco Perú S.A.,,,
Asesor de Líneas Especializadas / Sede Cercado de Lima,Adecco Perú S.A.,,,
Supervisor ssoma minería,V y P ICE S.A.C.,,,
Técnico en Agua Segura y Saneamiento,Water Mission Mexico,,,
Urgente!! Personal de limpieza para trabajar en Clinica de Miraflores,EULEN del Perú,,,
Admisionista,,,,
Personal del limpieza para trabajar en Clínica cerca al Real Plaza Salaverry,EULEN del Perú,,,
Especialista BIM,CHAMBA TALENT SOCIEDAD ANONIMA CERRADA,,,
Personal del limpieza para trabajar en Clínica cerca a la Av Brasil,EULEN del Perú,,,
Personal del limpieza para trabajar en Clínica cerca al Real Plaza Salaverry,EULEN del Perú,,,
Necesitamos Operario/as de limpieza para trabajar en importante Clinica en Miraflores,EULEN del Perú,,,
Operarios limpieza para trabajar en Clinica de Miraflores,EULEN del Perú,,,
Almacenero / Chimbote,Lavoro Perú,,,
Almacenero/a Puente Piedra,UNIVERSIDAD AUTONOMA DEL PERU S.A.C.,,,
Técnico Electricista / Cenco Mall La Molina,Cencosud Peru S.A,,,
Operario de Limpieza / Decansa Domingos / La Victoria,EULEN del Perú,,,
Cajero/a Bancario / Puno / MiBanco,Manpower,,,
Técnico Electricista Automotriz  en Huachipa,Innova Ambiental S.A.,,,
Convocatoria abierta en Arequipa para Cajeros / Asiste a Av Caym 600 / Martes 08 Julio con CV,Apuesta Total,,,
Ejecutivo de Ventas  / Ica,Financiera QAPAQ,,,
Ejecutivo de Ventas / Sueldo Base + Comisiones sin limites,Financiera QAPAQ,,,
Ejecutivo de Ventas / Sueldo Base + Comisiones sin limites,Financiera QAPAQ,,,
Asistente Contable para importante Estudio Contable,,,,
Auxiliar de Despacho Aduanero – Campo (Callao),Grupo Expro,,,
Ingeniero SIG o SOMA Nexa Cajamarquilla Huachipa,Prosegur,,,
Analista de Servicios Centrales y Activos Fijos,Financiera Confianza,,,
BCP / Asesor(a) de Ventas (Plataforma) / LIMA SUR,Adecco Perú S.A.,,,
Cajero/a Bancario Mibanco Mochumí,Manpower,,,
Técnico Safety/ SST (Rubro retail),Lavoro Perú,,,
Auxiliares de limpieza // Huachipa // Turno Mañana,Sodexo Perú S.A.C.,,,
Técnico Safety/ SST (Rubro retail),Lavoro Perú,,,
Supervisor/Coordinador / Planilla completa / Operador Entel Ventas,NetCall,,Presencial y remoto,
Supervisor Ssoma,BYV IESEMIN SAC,,,
Operaria de limpieza para trabajar en San Isidro por av. Republica de Panamá con Javier prado,EULEN del Perú,,,
Enfermero titulado,MultiLab,,,
Recepcionista / Vendedora,Enelya wellness spa,,,
Jefe de Calidad en Chorrillos,Multifoods S.A.C.,,,
Bembos Aurora(Benavides/Miraflores)/Asistente/Líder de Tienda,NG Restaurants,,,
Bembos Sáenz Peña(Callao)/Asistente/Líder de Tienda,NG Restaurants,,,
Papa Johns Zona Este (La Molina)/Asistente de Tienda,NG Restaurants,,,
Asesor(a) de negocios para Mi banco/ San Jacinto,Manpower,,,
Asesor/a de Ventas Telefónicas – BBVA/sábado hasta el medio día,Atento Perú,,,
Practicante profesional de Bienestar 2025,Innova Schools,,,
Auxiliar de mantenimiento,QF Farmacia Magistral,,,
Recepcionista de Hotel Boutique / c/exp en el rubro hotelero / Miraflores,Consulting Advisers,,,
Asistente de Procesos,Maqpower S.A.C.,,,
Operador de Prensa Excéntrica,Cantol S.A.C.,,,
Practicante de Comercio Exterior,ENAEX,,Presencial y remoto,
"Auxiliar de Transporte y Gestión de Calidad – GPS, Telemetría",REMALI,,,
Asesor/a de Ventas Telefónicas – Tarjetas de Crédito,Atento Perú,,,
Auxiliar de archivo en Ruta,POLYSISTEMAS CORP S.A.C.,,,
trabajadora social,,,,
Home Delivery / operario de logística transporte / full time / CT Arequipa,FALABELLA CORPORATIVO PERÚ,,,
"¡Urgente! Call Center /,  Asesor de restructuracion de deudas en TC banco Cencosud",Atento Perú,,,
Asistente de Seguridad y Salud en el Trabajo,Eurofirms Perú,,,
Administración,CARIQLO,,,
Asesor/a de Ventas Outbound – Repactación de Deudas y Seguros,Atento Perú,,,
¡Únete a Marathon! Entrevistas en el Ministerio de Trabajo,Grupo Marathon,,,
Operario de Almacén  Sector Agroindustrial,,,,
Asistente de Créditos y Cobranzas,CONSORCIO MASTER PERU,,,
Técnico Instalador y de Mantenimiento de Equipos de Ósmosis Inversa,PURIFI CARE,,,
Coordinador HSEQ,MAGNEX GROUP PERU S.A.C.,,,
BCP / Promotor de Ventas Hipotecario,Adecco Perú S.A.,,,
Auxiliar de Comercial,COBEFAR S.A.C,,,
Asistente legal,,,,
Clasificado por Reglas,Yarnold Consultores Legales,,,
Ingeniero Industrial/ Administrador industrial,CORPORACION BIOLIFE,,,
Popeyes Centro Cívico / Asistente de Tienda / Encargado de Turno,NG Restaurants,,,
técnico mecanico automotriz,Grones Sac,,,
Mercaderista / Canal Tradicional Lima Este/ Santa Anita / Ate / SJL,Perufarma S.A.,,,
"Ejecutivo Bancario/ Mibanco / Cocachacra, Islay",Manpower,,,
Recepcionista Bilingüe,BDO OUTSOURCING,,,
Ejecutivo de Servicio al cliente,QUE TAL COMPRA DEL PERU S.A.C.,,,
Asistente de Seguridad y Salud en el Trabajo  San Luis,PASTIPAN,,,
Analista de Proyectos /  Ate / Dominio de inglés,Corporación de Industrias Plásticas S. A.,,,
Mozo / Camarero para Magdalena del Mar,Pasteleria San Antonio,,,
Asesor(a) comercial/Call Center/Telemarketing/Surco,Manpower,,,
Agente de vigilancia Femenina para mina con formación Militar,K2 Seguridad y Resguardo S.A.C.,,,
Administrador De Tienda  turnos rotativos,PASTIPAN,,,
Asistente de Contabilidad,Fmrem S.R.L.,,,
Trabaja en menos de una semana!! Cajero(a) de apuestas c/sin experiencia /Cercado de Lima,Apuesta Total,,,
Teleoperador (Atención de QyR),Transportes Cruz del Sur,,,
Operador de Monitoreo de Alarmas y CCTV / Chorrillos,LIDERMAN,,,
Operador de GPS / 8hrs,LIDERMAN,,,
Cajero(a) con o sin experiencia / Lince / Sueldo Fijo + Bonos,Apuesta Total,,,
Cajero(a) con o sin experiencia / Cercado de Lima / Sueldo Fijo + Bonos,Apuesta Total,,,
Asesor(a) de negocios para Mi banco/ Huacho,Manpower,,,
Asesor(a) de negocios para Mi banco/ Puente Piedra,Manpower,,,
Cajera para Casino (SJM),Inversiones Stargames sac,,,
Asesor(a) de negocios para Mi banco/ La Union de huanuco,Manpower,,,
Asistente de Créditos y cobranzas / Finanzas /títulos y valores / ingreso a planilla completa,,,,
Trabaja en menos de una semana!! Cajero(a) de apuestas c/sin experiencia / Cerca al CC Arenales,Apuesta Total,,,
Ejecutiva de Operaciones / Chepén,COOPAC Santa Isabel,,,
Ejecutiva de Operaciones / Lambayeque,COOPAC Santa Isabel,,,
Operarios(as) de Limpieza para La victoria c/s experiencia,EULEN del Perú,,,
Operador de Puente Grúa y Rigger,Mantenimiento e Ingenieria Industrial S.R.L.,,,
Tecnico Electricista,Grupo San Pablo,,,
Asistente de Almacén,Mercado Minorista Tierra Prometida,,,
Técnico de Servicio Industrial / Planta Industrial,GRUPO PROGESTION,,,
Ejecutivo(a) de Admision Hospitalario / Cercado de Lima,Clinica Internacional SA,,,
Técnico Supervisor HSE,TRANSPORTES ANGEL IBARCENA S.A.C.,,,
Administrador De Tienda  turnos rotativos,PASTIPAN,,,
Asistente Ssoma,,,,
Tecnico electricista  Mantto Linea de Media Tension Con Licencia de conducir,Manpower,,,
Analista Programador Senior,CORPORACION BIOFARMACEUTICA S.A.C.,,,
"Cajero Bancario / Mibanco / AG Magdalena, Av. Brasil",Manpower,,,
Asistente dirección técnica con exp dispositivos médicos/  Cercado de Lima,Alkofarma Eirl,,,
Asesor de Negocios Con/Sin Experiencia Agencia Manantay (Pucallpa),Caja Huancayo,,,
Asistente administrativa,PIMENTEL 24/7 E.I.R.L,,,
Técnico/ mecánico automotriz con experiencia en  semi tráiler,JP Logistica SAC,,,
Popeyes Av. Vargas Machuca / Asistente de Tienda / Encargado de Turno,NG Restaurants,,,
Popeyes Av. Vargas Machuca / Asistente de Tienda / Encargado de Turno,NG Restaurants,,,
Jefe(a) de Ventas / Rubro Industrial y Metalmecánica / Disponibilidad para Viajar,Manpower,,,
Cajeros(as) para cevicheria,PUNTO MARISKO FUSION E.I.R.L.,,,
Supervisor de Producción rotativo,Pasteleria San Antonio,,,
Practicante profesional de Contabilidad /Ingles Avanzado,GRUPO SUNDA,,,
Operador de Camión Grúa y Rigger,Mantenimiento e Ingenieria Industrial S.R.L.,,,
Tecnico Electricista,Mantenimiento e Ingenieria Industrial S.R.L.,,,
Cajero Despachador,Tori,,,
Técnicos especialistas/ Proyecto FLM/ Planilla completa,Conectar Telecomunicaciones S.A.C.,,,
Operarios(as) de Limpieza para La victoria c/s experiencia,EULEN del Perú,,,
Gestor de Cobranza en consumo masivo/Huachipa/Planilla y Beneficios Sociales Completos,DISTRIBUIDORA BAJOPONTINA,,,
Asistente de la Demanda,Laboratorios SMASAC,,,
Clasificado por Reglas,BairesDev LLC,,,
Trabajo Desde Casa Junior Tester / Ref. 0027,BairesDev LLC,,,
Teleoperadoras/call center/Turno 6am a 2pm/Ate,Adecco Perú S.A.,,,
Clasificado por Reglas,BairesDev LLC,,,
Business Intelligence,Grupo Forte sac,,,
"¡Gana lo que tú quieras! Asesor de Ventas con Bonos Diarios, Semanales y Comisiones Sin Límite",INCLICK CONTAC CENTER S.A.C.,,,
Analista de Planilla / Exp. en Rubro Industrial,,,,
Auxiliar de limpieza // San Isidro // Lunes a Viernes// turno intermedio,Sodexo Perú S.A.C.,,,
Vendedora ICA,Manufacturas Kukuli SAC,,,
Técnico Electricista Mina,CONSORCIO GEOHIDRAULICA SAC,,,
"¡Con o sin experiencia! !GANA hasta S/. 2,000 + Bonos Diarios y Semanales! / Asesores de Venta",INCLICK CONTAC CENTER S.A.C.,,,
Asistente de Gestión Humana,Agrovision Peru Sac,,,
Clasificado por Reglas,CONSULTORIA Y ASESORIA EN TECNOLOGIA CONASTEC S.R.L.,,Presencial y remoto,
Analista Senior Data Engineer,CONSULTORIA Y ASESORIA EN TECNOLOGIA CONASTEC S.R.L.,,Presencial y remoto,
Auxiliar Administrativo de Seguros,CONSULTORIA Y ASESORIA EN TECNOLOGIA CONASTEC S.R.L.,,Presencial y remoto,
Asesor de Venta Campo,YAMAHA PERU,,,
¡Urgente! Lima Norte / Asesores de Chat y llamadas / Disponibilidad Inmediata,INCLICK CONTAC CENTER S.A.C.,,,
Asesor de ventas de campo,Germsa,,,
Asistente de Transporte / Ica,,,,
Asistente de Transporte / Huachipa,,,,
Ejecutivo de Cuentas Clave Arequipa,Alimentos de Exportacion SAC,,,
Asesor de Negocios Con Experiencia Agencia Huancas (Huancayo),Caja Huancayo,,,
Urgente ! Asistente de Recurso Humanos/ Sede Lince/Contratación inmediata,,,,
Operador Call Center,KasNet,,,
Técnico Mecánico de Mantenimiento  Planta Chilca,J & L ASESORES Y CONSULTORES EN GESTION EMPRESARIAL S.A.C,,,
Técnico Electrónico,QUE TAL COMPRA DEL PERU S.A.C.,,,
Urgente! Atención al cliente (Caja) / Av. El Derby,,,,
Ejecutivo de Cuentas Clave Piura,Alimentos de Exportacion SAC,,,
Urgente!! Real Plaza Centro Civico. Asesores Comerciales con Planilla + Bono de S/200,Salesland Pacífico,,,
Lider en Aseguramiento de la Calidad,LIVING GREEN,,,
Asesor (a) Comercial Tiempo completo /Mall Porongoche,Estilos S.R.L.,,,
Operario de almacén,LIVING GREEN,,,
Asistente de Evaluación de créditos / Arequipa,Estilos S.R.L.,,,
Docente,CORPORACION ARZOBISPO LOAYZA SOCIEDAD ANONIMA CERRADA,,,
Recepcionista Ingles Avanzado Viajero Hostels Huacachina,Viajero Hostels Perú,,,
Cajero/a con o sin exp /  Chorrillos  / Planilla Completa / Pagos quincenales,Apuesta Total,,,
Cajero/a con o sin exp /  Huanuco  / Planilla Completa / Pagos quincenales,Apuesta Total,,,
Cajero/a con o sin exp /  Marcona  / Planilla Completa / Pagos quincenales,Apuesta Total,,,
Trabajo Desde Casa Ingeniero Backend Java / Ref. 0003,BairesDev LLC,,,
Trabajo Desde Casa IT Infrastructure Analyst / Ref. 1017,BairesDev LLC,,,
Trabaja en menos de una semana!! Cajero(a) de apuestas c/sin experiencia / Av . Prolongación Iquitos,Apuesta Total,,,
Trabaja en menos de una semana!! Cajero(a) c/sin exp /Cieneguilla frente a parque Las Palmeras,Apuesta Total,,,
Asistente Datos y Automatización /  Asistente de Inteligencia de Negocios / Asistente de Contraloría,SOCIEDAD DE AUTOMOTORES INKA SAC,,,
"Encargado del área de Cajas / Lima Moderna, full time",Grupo Intercorp,,,
Back Office/Canales escritos/Banco BBVA/Descansa domingo,Atento Perú,,,
Trabajo Desde Casa Python Developer / Ref. 0071,BairesDev LLC,,,
Trabajo Desde Casa Node Backend Tech Lead / Ref. 0111,BairesDev LLC,,,
Operador CCTV  Senior con experiencia en investigación o conocimientos en SST 12H Santiago de Surco,Grupo Odisea,,,
Trabaja en menos de una semana!! Cajero(a) c/sin exp /Chosica por Moyopampa,Apuesta Total,,,
Asistente de Recursos Humanos,FORZA BUSINESS CORP E.I.R.L.,,,
Asistente Contable,ARMANDO PAREDES,,,
Tecnólogo Médico de Banco de Sangre,,,,
Trabajo Desde Casa Ingeniero en Redes / Ref. 0044,BairesDev LLC,,,
Asistente de Marketing Digital,CREACIONES TEXTILES AYM S.A.C.,,,
Popeyes Villa El Salvador / Asistente de Tienda / Encargado de Turno,NG Restaurants,,,
Trabajo Desde Casa Python Tech Lead / Ref. 0071,BairesDev LLC,,,
Urgente Operario de Limpieza Reten (,Limtek Servicios Integrales,,,
Cajero/a c/s experiencia  San Juan de Miraflores,Apuesta Total,,,
Cajero/a con o sin experiencia para Villa Maria del Triunfo,Apuesta Total,,,
Cajero/a con o sin experiencia para Huachipa,Apuesta Total,,,
Cajero/a con o sin experiencia para Surquillo,Apuesta Total,,,
Cajero/a con o sin experiencia para Lince,Apuesta Total,,,
Asistente de Soporte Técnico,Textile Sourcing Company S.A.C,,,
Cajero/a c/s experiencia  Villa el Salvador,Apuesta Total,,,
Urgente / Asistente de Cobranzas / La Molina,CENTINEL,,,
Almacenero / Chequeador de Almacen  Tai Loy,Tai Loy,,,
Trabajo Desde Casa Líder Técnico Fullstack Node + Nest + React / Ref. 0111,BairesDev LLC,,,
encargado contabilidad,LABTECH,,,
Jefe de Calidad (rubro alimentario),,,,
Asistente contable,LICONSA COMPANY,,,
Popeyes Chorrillos / Gerentes de Tienda / Administradores,NG Restaurants,,,
Admisionista Hospitalaria,Grupo San Pablo,,,
"Operador de Pozos (Bombeo, Sist. Hidraúlico)(14X7 Arequipa)",Séché Group Perú,,,
Trabajo Desde Casa Ingeniero Python / Ref. 0071,BairesDev LLC,,,
Clasificado por Reglas,BairesDev LLC,,,
¡Urgente! Almacenero  estibador / San Luis,PASTIPAN,,,
Técnico de Mantenimiento de Servicios Generales Multifuncional Temporal (6 meses),,,,
Teleoperador/a para trabajo hibrido en Magdalena de mar,,,,
Trabajo Desde Casa Scrum Master Junior / Ref. 0073,BairesDev LLC,,,
Dunkin Comas / Administrador / Gerente de Tienda,NG Restaurants,,,
Asistente de Calidad,Grupo Gurkas Sac,,,
Asesor financiero tiempo completo Arequipa,,,,
Analista Senior de Inteligencia Comercial/ Trade Marketing/ Power BI / Sector Tecnología,Overall Strategy,,Presencial y remoto,
Ejecutivo de Ventas  / Canto Grande,Financiera QAPAQ,,,
Ejecutivo de Ventas  / Mariscal Caceres,Financiera QAPAQ,,,
Dunkin Chorrillos / Administrador / Gerente de Tienda,NG Restaurants,,,
Trabajo Desde Casa Ingeniero Node / Ref. 0111,BairesDev LLC,,,
Trabajo Desde Casa Ingeniero Fullstack Node + Nest + React / Ref. 0111,BairesDev LLC,,,
Auxiliar de Liquidación,,,,
Clasificado por Reglas,BairesDev LLC,,,
Técnico de Concreto / Shotcrete unidad minera,Tumi Contratistas Mineros SAC,,,
Dunkin Magdalena / Administrador / Gerente de Tienda,NG Restaurants,,,
Analista Programador / Sector Logístico / Lince,ANDES EXPRESS S.A.C.,,,
Responsable de Distribución / Sector Logístico / Breña,ANDES EXPRESS S.A.C.,,,
Clasificado por Reglas,BairesDev LLC,,,
Operario de Limpieza Ate,Limtek Servicios Integrales,,,
Clasificado por Reglas,BairesDev LLC,,,
Supervisor de Calidad,Villa Natura Perú SAC,,,
Clasificado por Reglas,BairesDev LLC,,,
Auxiliar de reparto para el área de Transporte,Grupo Perú Alfa,,,
Clasificado por Reglas,BairesDev LLC,,,
Analista Bi y/o Comercial de Gestión de Desarrollo Consumo masivo,Overall Strategy,,,
Operario de Limpieza  Lurín,Limtek Servicios Integrales,,,
Auxiliar de almacén,Megapack Group S.A.C.,,,
Clasificado por Reglas,INDIGITAL,,Presencial y remoto,
Líder Técnico de Desarrollo,INDIGITAL,,Presencial y remoto,
Operador Soc (a) Junior / Help Desk,INDIGITAL,,Presencial y remoto,
Operario de almacén,REPRESENTACIONES MARTIN S.A.C,,,
Analista TI / San Borja,,,,
"Analista de Aseguramiento de la Calidad (Cifarma) / Lima, Perú",Laboratorios Portugal,,,
Bembos Santa Anita / Asistente de Tienda,NG Restaurants,,,
Vendedor para Canal Tradicional /  Mercado de Productores,Solimano Asociados,,,
Asesor/a de Líneas Especializadas / Sede Cercado de Lima,Adecco Perú S.A.,,,
Representante médico,,,,
Bembos San Miguel /Callao/Asistente de Restaurante,NG Restaurants,,,
Logística de Exportación Negocios Internacionales,,,,
Técnico Calderista (Macropolis KM 40),Alimentos Cielo SAC,,,
Gestor de atencion/Back office/Banco BBVA/Descansa domingo,Atento Perú,,,
Técnico Electricista,TRUST CONSULTING,,,
Conductor de Camioneta/Licencia A1,Adecco Perú S.A.,,,
Auxiliar de servicios generales,RCS CAPITAL HUMANO,,,
Asesor(a) Comercial en Campo/básico+ comisiones + bonos/ Zonal Cusco,Gedk Telecomunicaciones,,,
Supervisor(a) de Materias Primas / Plantas industriales,Manpower,,,
Asistente de Servicios Generales,ICPNA,,,
Técnico  de Mantenimiento (Alimentos),Bartori,,,
Asistente de Logística y Facturación,NEUMA PERU CONTRATISTAS GENERALES,,,
Asistente Medico Ocupacional,,,,
Analista de calidad,,,,
Certificaciones,,,,
cocinero/a,Centinela S&I,,,
Auxiliares de Limpieza en Lima centro Breña  / Planilla Completa/ Ingresa ya!,Sodexo Perú S.A.C.,,,
Técnico Mecánico Automotriz para Av. Faucett,,,,
Auxiliares de Limpieza / Lima Centro / Ingreso Inmediato! / Planilla Completa,Sodexo Perú S.A.C.,,,
Técnico Electricista Exp. Mina Subterránea  Trackless/ Régimen 14x7,Overall Strategy,,,
Auxiliar de Limpieza / Lima Centro Breña / Turno Mañana / Planilla Completa / Ingreso Inmediato,Sodexo Perú S.A.C.,,,
Técnico Mecánico Soldador / Piura,CAMPOSOL S.A.,,,
Docente de Mecánica Automotriz,SENATI,,,
Planner Post Venta / Villa El Salvador,ZAPLER,,,
Jefe de Recursos Humanos,EXPERTISE PERÚ,,,
Técnico en mantenimiento,,,,
Santa Clara / Promotor de venta Retail / Samsung,Grupo Tawa,,,
Tecnico de computadoras y NB,CORPORACION SAGOTA SAC,,,
Analista de Inteligencia de Negocios/Rubro Outsourcing,,,,
Secretaria Academica,PARADISE INTERNATIONAL GROUP S.A.C.,,,
Se necesita CCTV para tienda Tottus en La Molina / Con y sin exp / Curso Cacsi / 12 horas Full día,Iseg Perú S.A.C,,,
Asistente Comercial  Rubro Metalmecánica,Construcciones Metálicas y Montaje ABG S.R.L.,,,
Ejecutiva de Operaciones / Trujillo,COOPAC Santa Isabel,,,
Técnico Mecánico Automotriz de Tracto Camiones,Terracargo SAC,,,
Auxiliar Administrativo,SEKUR,,,
Asesor de cobranza / call center,,,,
Operador de cámaras cctv con experiencia 12 horas full día para la Molina Fontana,Iseg Perú S.A.C,,,
Buscamos Asistente Operativo de Almacén,Grupo Perú Alfa,,,
Bembos Higuereta/Administrador de Tienda,NG Restaurants,,,
Auxiliar de Almacén // Rotativo // Administrativo,Lavoro Perú,,,
Electricista General I,,,,
Coordinador de Operaciones de Exportación,GDL PERU SAC,,,
Asistente de Almacén l Lurin,HERMETICA S.A.C.,,,
QA Lab Automation,NTT DATA,,Presencial y remoto,
Analista de Seguridad Informática y Ciberseguridad,Caja Maynas,,,
Practicante Profesional de Administración de Personal,,,,
agente de seguridad,J&O SECURITY SAC,,,
Auxiliar de Limpieza / Villa el Salvador/ Traslado de residuos,Resiter Peru SAC,,,
analista de administración de personal y Payroll,Apex America Perú,,,
Técnico en Mantenimiento Multitareas,MIDAS SOLUTIONS CENTER,,,
Auxiliar de Limpieza / Villa el Salvador/ Traslado de residuos,Resiter Peru SAC,,,
Analista de Procesos Junior (Por proyecto) / Sede La Victoria,Innova Schools,,Presencial y remoto,
En Plaza Center La Molina buscamos Técnico de Mantenimiento Servicios Generales,Grupo Intercorp,,,
Asistente de Procesos Senior (Por proyecto) / Sede La Victoria,Innova Schools,,Presencial y remoto,
Urgente Ejecutiva(o) comercial /venta paquetes médicos para Clínica Ricardo palma,A365,,,
QA Automation Arequipa/Trujillo,NTT DATA,,Presencial y remoto,
Administradora de Modulo,E. B. PAREJA LECAROS S.A.,,,
Analista de Organización y Métodos Junior (Por proyecto) / Sede La Victoria,Innova Schools,,Presencial y remoto,
Asistente de Sostenibilidad y SIG San Borja Presencial,Pulso Corporación Médica,,,
Asesor de ventas,CASAS Y COLORES S.R.L,,,
Supervisor de Aseguramiento de la Calidad,Bartori,,,
Administrativo con experiencia en Logistica,INNOVACION SOLAR PERU E.I.R.L.,,,
Técnico Electricista Automotriz / Vehículos Pesados,Manpower,,,
Vendedor de Campo para KR / Cañete / Distribuidora de Bebidas,Adecco Perú S.A.,,,
Practicante de Inteligencia de Negocios (Recién Egresados),Manpower,,Presencial y remoto,
Cajeros Full time / Sueldo fijo + Bono / Todo Lima,MEYTEN,,,
Promotor de Ventas de Colchones / Talara,BELOW TRADE S.A.C,,,
Ingeniero de machine learning,Grupo Educa_d,,Presencial y remoto,
Practicante Mecánica Automotriz Santa Clara,Tracto Camiones U.S.A.,,,
Ayudante de Almacén e Inventarios / Lurin / Sector Industrial,Well HR,,,
Técnico Mecánico Automotriz /Cercado de Lima,,,,
Ejecutivo de Visitas a Condominios /Movistar,Digital Max,,,
Auxiliar de almacén (Picking),Manpower,,,
IT Operations Coordinator / Sector Minería/Hidrocarburos,GRUPO PROGESTION,,Presencial y remoto,
IT Operations Coordinator / Sector Minería/Hidrocarburos,GRUPO PROGESTION,,Presencial y remoto,
Analista de Calidad / Sector minería e hidrocarburos  Callao,GRUPO PROGESTION,,Presencial y remoto,
Recepcionista,HOTELES PALMETTO,,,
Mecánico de camiones,MEDLOG,,,
Supervisor/a de Seguridad y Salud en el Trabajo,ASICA FARMS SAC,,,
Operador / San Isidro / Presencial,GREEN SOLUTIONS GROUP,,,
Técnico Mecánico 1,Tecnomin Data,,,
Analista de  Compensaciones (Por proyecto)/ Sede La Victoria,Innova Schools,,Presencial y remoto,
Analista de  Planillas (Por proyecto)/ Sede La Victoria,Innova Schools,,Presencial y remoto,
Practicante Profesional para el Departamento de Logística,SILSA,,,
Practicante Técnico en Farmacia,Botica Tumi farma salud sac,,,
Operador CNC / Experiencia en cortadora de Plasma,Steelser S.A.C.,,,
Analista BI Junior / Consumo Masivo / Modalidad híbrida,Adecco Perú S.A.,,Presencial y remoto,
Asistente o Auxiliar Contable,SANDAVA PHARMA E.I.R.L,,,
Asistente Contable / Tacna,Adecco Perú S.A.,,,
administrador/a de restaurante,Inversiones Roma SAC,,,
Auxiliar de Reclutamiento Zona Norte,Manpower,,Presencial y remoto,
"Técnico en Mantenimiento y Emergencia, Camaná",Bitel,,,
Operador de grifo con o sin experiencia,CORPORACIÓN DE TRANSPORTES CARLEY SOCIEDAD ANONIMA CERRADA,,,
Tecnico de Mantenimiento Mecánico (3 meses) Arequipa,Gloria,,,
Mozo(a) / (14x7 )/ Campamento Minero // Arequipa,Sodexo Perú S.A.C.,,,
