puesto_estandarizado,empresa,ubicacion,modalidad,salario_estimado
QA Automation Arequipa/Trujillo,NTT DATA,,Presencial y remoto,
Practicante de Inteligencia de Negocios (Recién Egresados),Manpower,,Presencial y remoto,
Ingeniero de machine learning,Grupo Educa_d,,Presencial y remoto,
IT Operations Coordinator / Sector Minería/Hidrocarburos,GRUPO PROGESTION,,Presencial y remoto,
Operador cctv / Cercado de Lima /24x24,FRITZ SPORT SAC,,,
Analista programador NET CORE,,,,
Si te apasionan las ventas! Únete y gana hasta 2000 + bonos ilimitados! escoge tus horarios!,CALLYPSO PERU S.A.C.,,,
Checker,MEDLOG,,,
Técnico de soporte de dispositivos móviles y de cómputo,MCENTER,,,
Asistente de soporte técnico TI,Minera Shouxin  Perú S.A.,,,
Operador de planta 2,Minera Shouxin  Perú S.A.,,,
Prevencionista de Seguridad // Casino Golden Palace,Casino Golden Palace,,,
Controller Regular,NetCall,,,
Asistente administrativo con experiencia en Restaurantes,Aramburú Matriz,,,
Clasificado por Reglas,V&V SOLUCIONES,,,
Asistente de reclutamiento de Flota / perfiles masivos,WOSAK S.A.C.,,Presencial y remoto,
Asistente legal San Isidro,PROMOCION DE SERVICIOS VARIOS S.A.C,,,
Auxiliar administrativo/a San Isidro,PROMOCION DE SERVICIOS VARIOS S.A.C,,,
Practicante electricista,Electro Industrial Solutions S.A.,,,
Atención al cliente y ventas Cusco,Aadaru,,,
Se busca Teleoperadores de Ventas Para Trabajo Remoto! Full Time 8Am a 5Pm Home Office,,,,
Financiera oh! Ejecutivo de Ventas / Full Time o Part Time /Plaza Vea Santa Clara,Grupo Intercorp,,,
Auxiliar de Soporte TI Full Time Turno Tarde / UTP Lima Centro,Universidad Tecnológica del Perú,,,
Técnico/ Auxiliar de Calidad con experiencia en plantas industriales para Comas,Total Talent Human Resources,,,
Medico Ocupacional / Surco / L a S 7am a 4pm,S.G NATCLAR SAC,,,
Movistar Benavides buscamos Asesor/a de Atención al Cliente y Ventas,Aadaru,,,
Asesor de Negocios / Chincha,CAJA TRUJILLO,,,
Movistar Megaplaza ¡Comisiones ilimitadas! Asesor/a de Atención al Cliente y Ventas,Aadaru,,,
Asesor de Negocios / Sede Tarma,CAJA TRUJILLO,,,
Asesor de Negocios / Sede Huachipa,CAJA TRUJILLO,,,
Movistar Ayacucho ¡Comisiones ilimitadas! Asesor/a de Atención al Cliente y Ventas,Aadaru,,,
Movistar Mall Comas  ¡Comisiones ilimitadas! Asesor/a de Atención al Cliente y Ventas,Aadaru,,,
Asistente Contable,,,,
Programador junior/ Analista de programación con conocimiento en phython/ingreso a planilla completa,,,,
Asesor de Negocios / Sede Miraflores / Lima,CAJA TRUJILLO,,,
Supervisor,GUARDIA CIVIL COMPANY,,,
Asistente administrativo de almacen,,,,
Asesor Call Center / San Isidro,Digital Max,,,
Modelador de Datos GCP,Vooxell,,,
Gestor de Proyectos,Vooxell,,Presencial y remoto,
Operador de centro de control,ULTRASEGUR SAC,,,
Analista Programador Fullstack  Sector Seguros,Materia Gris,,,
Auxiliar Logístico / Lurín,ONURIS TALENT S.A.C.,,,
Operativo de Atención al Cliente (Campañas de Salud Ocupacional),,,,
Ingeniero de datos GCP,Vooxell,,Presencial y remoto,
